name,gender,City,State,Age,charges
vandna,f,Warangal,Telangana,56,"Land encroachment, Culpable homicide (Sec 304), Cyber stalking"
aman kumar,m,Navsari,Gujarat,71,"Kidnapping (Sec 363–369), Atrocities against SC/ST (SC/ST Act), Bigamy (Sec 494)"
varun,m,Pune,Maharashtra,75,"Abetment of suicide (Sec 306), Cruelty by husband or relatives (Sec 498A)"
tanya mishra,f,Kagaznagar,Andhra Pradesh,67,Fraud
phool chand_1.0,m,Nizamabad,Telangana,68,"Atrocities against SC/ST (SC/ST Act), Civil contempt, Cruelty by husband or relatives (Sec 498A)"
mohd  javed,m,Diu,Daman and Diu,20,"Money laundering (PMLA), Sedition (Sec 124A), Driving without a license"
sneha_1.0,f,Krishnanagar,West Bengal,77,Robbery (Sec 392)
sapna porwal,f,Ambala,Haryana,40,"Land encroachment, Illegal possession or use of arms (Arms Act)"
karim,m,Saharanpur,Uttar Pradesh,31,Child custody
nirmla_2.0,f,Bhopal ,Madhya Pradesh,41,Criminal misappropriation (Sec 403)
rakesh  singh,m,Ajmer,Rajasthan,29,"Land encroachment, Divorce and matrimonial issues"
sonu goyal,m,Aligarh,Uttar Pradesh,47,"Extortion (Sec 383), Fraud"
modh danish,m,Pune,Maharashtra,71,"Environmental violations (EPA), Property disputes"
urmila_2.0,f,Bhopal ,Madhya Pradesh,45,"Online harassment, Divorce and matrimonial issues, Abetment of suicide (Sec 306)"
swati_5.0,f,Aizawl  ,Mizoram,61,Bigamy (Sec 494)
smt.nosar devi,f,Rajahmundry,Andhra Pradesh,76,"Civil contempt, Dacoity (Sec 395)"
mohit_9.0,m,Jhansi,Uttar Pradesh,74,Criminal contempt
poga,f,DehraDun,Uttarakhand,42,Unlawful activities (UAPA)
smt mamta_1.0,f,Mathura,Uttar Pradesh,58,Theft (Sec 378)
prsant,m,Silvassa,Dadra and Nagar Haveli,44,"Cruelty by husband or relatives (Sec 498A), Online harassment, Unlawful activities (UAPA)"
srimati radhika,f,Pilibhit,Uttar Pradesh,35,Assault (Sec 351)
ramchander,m,Malegaon Camp,Maharashtra,79,"Violation of traffic signals, Drunk driving, Sedition (Sec 124A)"
jagan nath,m,Pali,Rajasthan,41,"Kidnapping (Sec 363–369), Cheating (Sec 415), Cyber stalking"
heena_9.0,f,Aizawl  ,Mizoram,77,"Sedition (Sec 124A), Counterfeiting currency (Sec 489A)"
rukhsana_1.0,f,Saugor,Madhya Pradesh,51,Fraud
rajesh mishra_1.0,m,Rajahmundry,Andhra Pradesh,32,"Partition suits, Breach of contract, Pollution Control Board violations"
ashok_3.0,m,Vishakhapatnam,Andhra Pradesh,57,Waging war against the Government (Sec 121)
tilak raj_1.0,m,Kota,Rajasthan,38,Forgery (Sec 463)
pramod,m,Jodhpur,Rajasthan,80,"Cheating (Sec 415), Data theft, Rape (Sec 376)"
pooja_69.0,f,Tuticorin,Tamil Nadu ,38,Bigamy (Sec 494)
depali,f,Nandyal,Andhra Pradesh,28,"Breach of contract, Criminal breach of trust (Sec 405), Property disputes"
km rukshar,f,Srinagar,Jammu and Kashmir,39,"Murder (Sec 302), Violation of traffic signals, Money laundering"
rani_7.0,f,Gurugram,Haryana,55,"Concealing intent to wage war (Sec 123), Land encroachment, Rape (Sec 376)"
amuchla barman,m,Bidar,Karnataka,75,"Waging war against the Government (Sec 121), Kidnapping (Sec 363–369), Narcotic Drugs and Psychotropic Substances offences (NDPS Act)"
sumit_8.0,m,Srinagar,Jammu and Kashmir,34,"Theft (Sec 378), Bigamy (Sec 494)"
gitika,f,Bamanpuri,Uttar Pradesh,78,"Criminal contempt, Data theft"
sagar_3.0,m,Dindigul,Tamil Nadu ,80,Cheating (Sec 415)
janki kumari,f,Meerut,Uttar Pradesh,28,"Drunk driving, Concealing intent to wage war (Sec 123), Cruelty by husband or relatives (Sec 498A)"
sanjiv kumar,m,Ghandinagar,Gujarat,53,"Drunk driving, Narcotic Drugs and Psychotropic Substances offences (NDPS Act)"
gunjan_2.0,f,Pilibhit,Uttar Pradesh,67,"Cruelty by husband or relatives (Sec 498A), Robbery (Sec 392), Unlawful activities (UAPA)"
patender,m,Bulandshahr,Uttar Pradesh,75,"Theft (Sec 378), Sedition (Sec 124A)"
laxman singh,m,Kavaratti,Lakshadweep,63,Robbery (Sec 392)
rimzim,f,Udaipur,Rajasthan,54,Criminal breach of trust (Sec 405)
ritu_2.0,f,Navsari,Gujarat,70,"Forgery (Sec 463), Partition suits"
narayan singh_1.0,m,Jorapokhar,Jharkhand,38,Abetment of suicide (Sec 306)
dinesh_7.0,m,Chirala,Andhra Pradesh,61,"Kidnapping (Sec 363–369), Fraud, Narcotic Drugs and Psychotropic Substances offences (NDPS Act)"
jitender_5.0,m,Dhanbad,Jharkhand,56,"Partition suits, Land encroachment, Drunk driving"
manju kumari,f,Budaun,Uttar Pradesh,36,Money laundering (PMLA)
pawan lakhwani,m,Varanasi,Uttar Pradesh,24,"Data theft, Assault (Sec 351)"
saroz,m,Sirsa,Haryana,71,"Rape (Sec 376), Cruelty by husband or relatives (Sec 498A)"
mandeep,m,Salem,Tamil Nadu ,76,"Murder (Sec 302), Child custody, Bigamy (Sec 494)"
natasha,f,Kalyan,Maharashtra,20,"Breach of contract, Data theft"
pooran chand_1.0,m,Delhi,Delhi,45,Criminal contempt
manoj kumar_10.0,m,Adilabad,Telangana,36,"Counterfeiting currency (Sec 489A), Sedition (Sec 124A), Murder (Sec 302)"
radhika_2.0,f,Dhanbad,Jharkhand,48,"Abetment of suicide (Sec 306), Illegal possession or use of arms (Arms Act), Criminal contempt"
raju@rajesh,m,Baramula,Jammu and Kashmir,69,"Divorce and matrimonial issues, Culpable homicide (Sec 304), Bigamy (Sec 494)"
gudiya_1.0,f,Guntur,Andhra Pradesh,52,"Rape (Sec 376), Adultery (Sec 497 now decriminalized), Hacking"
km0 komal,f,Aligarh,Uttar Pradesh,66,"Unlawful activities (UAPA), Assault (Sec 351)"
lalu ram,m,Vadodara,Gujarat,54,Pollution Control Board violations
anju_11.0,f,DehraDun,Uttarakhand,59,"Rape (Sec 376), Divorce and matrimonial issues, Consumer complaints"
sonu_13.0,m,Nizamabad,Telangana,23,"Assault (Sec 351), Violation of traffic signals, Atrocities against SC/ST (SC/ST Act)"
kasim,m,Ahmedabad,Gujarat,66,Adultery (Sec 497 now decriminalized)
pooja soren,f,Kolkata ,West Bengal,37,Atrocities against SC/ST (SC/ST Act)
payal_5.0,f,Kochi,Kerala,50,"Bigamy (Sec 494), Criminal misappropriation (Sec 403)"
suman_20.0,f,Gwalior,Madhya Pradesh,65,"Fraud, Cyber stalking, Divorce and matrimonial issues"
ganesh_3.0,m,Bhopal ,Madhya Pradesh,20,Robbery (Sec 392)
ambika_1.0,f,Calicut,Kerala,38,"Kidnapping (Sec 363–369), Waging war against the Government (Sec 121), Robbery (Sec 392)"
shabnur,f,Bikaner,Rajasthan,65,"Money laundering, Bigamy (Sec 494), Money laundering (PMLA)"
km. dayji,f,Nalgonda,Telangana,64,"Forgery (Sec 463), Cheating (Sec 415), Environmental violations (EPA)"
sunita_16.0,f,Imphal,Manipur,69,"Unlawful activities (UAPA), Forgery (Sec 463), Atrocities against SC/ST (SC/ST Act)"
heena_10.0,f,Bhubaneshwar,Odisha,76,"Rape (Sec 376), Overspeeding"
priya devi,f,Dibrugarh,Assam,78,Illegal possession or use of arms (Arms Act)
imran_5.0,m,Alappuzha,Kerala,45,"Abetment of suicide (Sec 306), Attempt to murder (Sec 307)"
smt monika_1.0,f,Kochi,Kerala,31,"Civil contempt, Dowry death (Sec 304B), Data theft"
komal kumari,f,Ajmer,Rajasthan,63,"Forgery (Sec 463), Criminal breach of trust (Sec 405), Property disputes"
jyoti_34.0,f,Bikaner,Rajasthan,79,Waging war against the Government (Sec 121)
manisha khandelwal,f,Dhanbad,Jharkhand,32,Child custody
prakash_2.0,m,Vizianagaram,Andhra Pradesh,72,"Unlawful activities (UAPA), Environmental violations (EPA)"
gonsan topno,m,Kolkata ,West Bengal,51,"Unlawful activities (UAPA), Assault (Sec 351)"
bhawna_4.0,f,Patiala,Punjab,75,Money laundering
ruchi,f,Mirzapur,Uttar Pradesh,30,"Land encroachment, Divorce and matrimonial issues, Rape (Sec 376)"
karishma_1.0,f,Alappuzha,Kerala,27,Driving without a license
raj kumar_4.0,m,Gwalior,Madhya Pradesh,57,"Criminal contempt, Pollution Control Board violations"
kuldeep_3.0,f,Chirala,Andhra Pradesh,28,Environmental violations (EPA)
khushbu_7.0,f,Alwar,Rajasthan,38,Criminal breach of trust (Sec 405)
soniya_12.0,f,Chirala,Andhra Pradesh,38,"Divorce and matrimonial issues, Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Counterfeiting currency (Sec 489A)"
rajan kumar,m,Pali,Rajasthan,76,"Money laundering, Rape (Sec 376)"
sandhya_4.0,f,Aizawl  ,Mizoram,46,"Drunk driving, Consumer complaints, Concealing intent to wage war (Sec 123)"
leela devi,f,Bhatpara,West Bengal,60,"Civil contempt, Hacking"
ajay kumar_5.0,m,Patiala,Punjab,28,Bigamy (Sec 494)
samoti,f,Adilabad,Telangana,69,"Attempt to murder (Sec 307), Land encroachment, Divorce and matrimonial issues"
amit_10.0,m,Gopalpur,Uttar Pradesh,42,Dowry death (Sec 304B)
pannu,m,Ratlam,Madhya Pradesh,30,"Money laundering, Property disputes"
bharat damor,m,DehraDun,Uttarakhand,59,"Violation of traffic signals, Robbery (Sec 392)"
smt. seema_1.0,f,New Delhi,Delhi,36,Atrocities against SC/ST (SC/ST Act)
amit singh_1.0,m,Dhanbad,Jharkhand,76,Counterfeiting currency (Sec 489A)
kajal_16.0,f,Muzaffarpur,Bihar,75,"Extortion (Sec 383), Illegal possession or use of arms (Arms Act), Violation of traffic signals"
seema_18.0,f,Saidpur,Jammu and Kashmir,74,Violation of traffic signals
kashum,f,Bhopal ,Madhya Pradesh,76,"Criminal breach of trust (Sec 405), Divorce and matrimonial issues"
rakesh_2.0,m,Pathankot,Punjab,39,"Culpable homicide (Sec 304), Drunk driving, Money laundering (PMLA)"
bal kishan,m,Aurangabad,Bihar,24,"Theft (Sec 378), Partition suits, Kidnapping (Sec 363–369)"
smt. meena,f,Akola,Maharashtra,52,"Culpable homicide (Sec 304), Breach of contract"
kanti prshad,f,Hubli,Karnataka,67,"Fraud, Waging war against the Government (Sec 121), Breach of contract"
manju_12.0,f,Bakshpur,Uttar Pradesh,35,"Culpable homicide (Sec 304), Money laundering, Breach of contract"
sakila,f,Belgaum,Karnataka,33,Bigamy (Sec 494)
shabana khatun,f,Ahmadnagar,Maharashtra,51,"Driving without a license, Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Divorce and matrimonial issues"
sonu roy,m,Faridabad,Haryana,22,Cyber stalking
anjali_17.0,f,Ahmedabad,Gujarat,41,"Breach of contract, Cyber stalking"
aman_5.0,f,Pilibhit,Uttar Pradesh,46,"Civil contempt, Counterfeiting currency (Sec 489A)"
rahul_23.0,m,Pathankot,Punjab,25,Sexual offences against children (POSCO Act)
pooja_70.0,f,Port Blair,Andaman and Nicobar Islands,50,"Kidnapping (Sec 363–369), Divorce and matrimonial issues"
sunita verma,f,Guntur,Andhra Pradesh,30,"Cheating (Sec 415), Murder (Sec 302)"
chanchal_4.0,f,Bhiwani,Haryana,43,Robbery (Sec 392)
kamjeet,f,Mahabubnagar,Telangana,40,"Rape (Sec 376), Breach of contract"
surgayan kanwar,m,Bhilwara,Rajasthan,63,Divorce and matrimonial issues
asha nand,m,Hapur,Uttar Pradesh,33,"Concealing intent to wage war (Sec 123), Dacoity (Sec 395), Robbery (Sec 392)"
pooja_71.0,f,Budaun,Uttar Pradesh,32,"Illegal possession or use of arms (Arms Act), Waging war against the Government (Sec 121)"
pooja_72.0,f,Chennai,Tamil Nadu ,70,Pollution Control Board violations
pushpa devi_1.0,f,Bhubaneshwar,Odisha,80,"Counterfeiting currency (Sec 489A), Robbery (Sec 392)"
manoj saini,m,Haripur,Punjab,45,Pollution Control Board violations
kuldeep singh_2.0,m,Warangal,Telangana,41,"Attempt to murder (Sec 307), Hacking"
amit_11.0,m,Tonk,Rajasthan,30,"Money laundering, Divorce and matrimonial issues, Sexual offences against children (POSCO Act)"
kamla_2.0,f,Jorapokhar,Jharkhand,46,Fraud
manish_5.0,m,Gwalior,Madhya Pradesh,29,"Culpable homicide (Sec 304), Pollution Control Board violations"
rashmi rator,f,DehraDun,Uttarakhand,80,"Cruelty by husband or relatives (Sec 498A), Cheating (Sec 415)"
sonika sharma,f,Shahbazpur,Uttar Pradesh,29,"Attempt to murder (Sec 307), Theft (Sec 378)"
sonu_14.0,m,Rajapalaiyam,Tamil Nadu ,26,"Dowry death (Sec 304B), Forgery (Sec 463)"
mahfooj,m,Ramagundam,Telangana,56,Civil contempt
nandini,f,Haora,West Bengal,59,"Pollution Control Board violations, Data theft, Environmental violations (EPA)"
suraj_5.0,m,Kagaznagar,Andhra Pradesh,62,"Concealing intent to wage war (Sec 123), Criminal contempt"
nishant tyagi,m,Mumbai,Maharashtra,40,Partition suits
parmanand,m,Jorhat,Assam,59,"Kidnapping (Sec 363–369), Assault (Sec 351), Waging war against the Government (Sec 121)"
raghuveer_1.0,m,Saugor,Madhya Pradesh,67,"Civil contempt, Online harassment, Criminal contempt"
sandeep_6.0,m,Raichur,Karnataka,26,"Waging war against the Government (Sec 121), Pollution Control Board violations"
chetan verma,m,Kota,Rajasthan,74,"Atrocities against SC/ST (SC/ST Act), Assault (Sec 351)"
neha_24.0,f,New Delhi,Delhi,50,"Culpable homicide (Sec 304), Money laundering"
sanjay gulati,m,Panipat,Haryana,58,"Forgery (Sec 463), Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Robbery (Sec 392)"
neelam_18.0,f,Kolar,Karnataka,72,"Kidnapping (Sec 363–369), Rape (Sec 376), Concealing intent to wage war (Sec 123)"
pritam,m,Raichur,Karnataka,22,"Overspeeding, Forgery (Sec 463), Criminal misappropriation (Sec 403)"
jatin_3.0,m,Jaipur,Rajasthan,28,Narcotic Drugs and Psychotropic Substances offences (NDPS Act)
poonam_23.0,f,Tiruchchirappalli,Tamil Nadu ,35,"Money laundering (PMLA), Rape (Sec 376), Forgery (Sec 463)"
irshad,m,Talcher,Odisha,39,"Online harassment, Culpable homicide (Sec 304)"
lal babu,m,Bhilai,Chhattisgarh,66,"Fraud, Counterfeiting currency (Sec 489A)"
ram kishan_2.0,m,Bikaner,Rajasthan,38,Narcotic Drugs and Psychotropic Substances offences (NDPS Act)
rajo,f,Fyzabad,Uttar Pradesh,69,"Concealing intent to wage war (Sec 123), Environmental violations (EPA)"
arshad_2.0,m,Gaya,Bihar,36,"Divorce and matrimonial issues, Forgery (Sec 463)"
parwati,f,Gulbarga,Karnataka,34,"Consumer complaints, Waging war against the Government (Sec 121)"
jasveen,m,Haripur,Punjab,37,"Environmental violations (EPA), Atrocities against SC/ST (SC/ST Act)"
hina_2.0,f,Nanded,Maharashtra,24,"Driving without a license, Unlawful activities (UAPA), Hacking"
pardeep_1.0,m,Bharauri,Uttar Pradesh,74,Hacking
nitesh_2.0,m,Karnal,Haryana,50,Kidnapping (Sec 363–369)
santosh rani,f,Sangli,Maharashtra,38,"Drunk driving, Concealing intent to wage war (Sec 123)"
kanchan_8.0,f,Shimla,Himachal Pradesh,79,"Dowry death (Sec 304B), Divorce and matrimonial issues"
kaushal,m,Raipur,Chhattisgarh,34,"Money laundering, Bigamy (Sec 494)"
sunny goyal,m,Jodhpur,Rajasthan,47,"Bigamy (Sec 494), Civil contempt, Cheating (Sec 415)"
satish_9.0,m,Malegaon Camp,Maharashtra,65,"Sedition (Sec 124A), Bigamy (Sec 494)"
bindu_4.0,f,Bhubaneshwar,Odisha,20,"Dowry death (Sec 304B), Murder (Sec 302)"
rohit_12.0,m,Kurnool,Andhra Pradesh,61,"Civil contempt, Environmental violations (EPA), Culpable homicide (Sec 304)"
hemlata_4.0,f,Panchkula,Haryana,77,"Bigamy (Sec 494), Extortion (Sec 383)"
sher khan,m,Amritsar,Punjab,44,"Data theft, Dacoity (Sec 395), Violation of traffic signals"
anjali@rinku,f,Meerut,Uttar Pradesh,73,"Atrocities against SC/ST (SC/ST Act), Cruelty by husband or relatives (Sec 498A)"
sayja_1.0,f,Amaravati,Maharashtra,52,"Murder (Sec 302), Counterfeiting currency (Sec 489A), Adultery (Sec 497 now decriminalized)"
ankur sharma_1.0,m,Krishnanagar,West Bengal,55,"Partition suits, Atrocities against SC/ST (SC/ST Act)"
surender singh_1.0,m,Nagercoil,Tamil Nadu ,37,"Attempt to murder (Sec 307), Environmental violations (EPA)"
deepu_2.0,m,Bhatpara,West Bengal,31,"Cheating (Sec 415), Dacoity (Sec 395), Atrocities against SC/ST (SC/ST Act)"
santosh_8.0,m,Meerut,Uttar Pradesh,43,Illegal possession or use of arms (Arms Act)
sakshi_2.0,f,Nizamabad,Telangana,57,"Unlawful activities (UAPA), Property disputes"
vicky_3.0,m,Muzaffarnagar,Uttar Pradesh,41,"Data theft, Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Child custody"
md rafi,m,Thanjavur,Tamil Nadu ,62,Environmental violations (EPA)
annu_4.0,f,Sonipat,Haryana,39,Cruelty by husband or relatives (Sec 498A)
pappu kumar,m,Dhanbad,Jharkhand,61,"Dacoity (Sec 395), Counterfeiting currency (Sec 489A)"
sangeeta_15.0,f,Shillong ,Meghalaya,43,"Forgery (Sec 463), Fraud"
minu,f,Bharatpur,Rajasthan,78,Breach of contract
rohit_13.0,m,Dibrugarh,Assam,46,"Criminal contempt, Environmental violations (EPA), Adultery (Sec 497 now decriminalized)"
laxman kumar_1.0,m,Bhilwara,Rajasthan,71,"Cyber stalking, Violation of traffic signals"
madhuri_1.0,f,Panaji,Goa,79,"Concealing intent to wage war (Sec 123), Criminal misappropriation (Sec 403), Overspeeding"
rahul_24.0,m,Ghandinagar,Gujarat,68,"Sedition (Sec 124A), Rape (Sec 376), Partition suits"
aasha_2.0,f,Patiala,Punjab,42,"Unlawful activities (UAPA), Environmental violations (EPA), Kidnapping (Sec 363–369)"
rajeev_2.0,m,Shillong ,Meghalaya,35,Child custody
kirpa,f,Bareilly,Uttar Pradesh,80,"Divorce and matrimonial issues, Breach of contract, Assault (Sec 351)"
saleem ansari,m,Tonk,Rajasthan,39,"Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Rape (Sec 376), Money laundering"
jioty bajaj,f,Bhilwara,Rajasthan,71,"Environmental violations (EPA), Illegal possession or use of arms (Arms Act), Atrocities against SC/ST (SC/ST Act)"
naina kaushik,f,Puri,Odisha,36,"Sexual offences against children (POSCO Act), Cheating (Sec 415)"
ramesh_5.0,m,Bhagalpur,Bihar,57,Illegal possession or use of arms (Arms Act)
arjun_5.0,m,Rampura,Rajasthan,29,Money laundering (PMLA)
rahul_25.0,m,Vishakhapatnam,Andhra Pradesh,73,"Violation of traffic signals, Waging war against the Government (Sec 121), Money laundering"
imran_6.0,m,Dhanbad,Jharkhand,26,Counterfeiting currency (Sec 489A)
poonam_24.0,f,Bamanpuri,Uttar Pradesh,73,Culpable homicide (Sec 304)
pooja_73.0,f,Guntur,Andhra Pradesh,74,"Data theft, Abetment of suicide (Sec 306)"
kishor ahuja,m,Shillong ,Meghalaya,37,"Breach of contract, Murder (Sec 302), Partition suits"
monika tyagi,f,Diu,Daman and Diu,66,"Overspeeding, Abetment of suicide (Sec 306), Culpable homicide (Sec 304)"
bhrat singh,m,Kolkata ,West Bengal,74,"Culpable homicide (Sec 304), Robbery (Sec 392), Rape (Sec 376)"
momin kureshi,m,Hata,Uttar Pradesh,59,"Dacoity (Sec 395), Divorce and matrimonial issues, Kidnapping (Sec 363–369)"
sharda_2.0,f,Ranchi,Jharkhand,72,Forgery (Sec 463)
chamanlal,m,Chanda,Maharashtra,33,"Atrocities against SC/ST (SC/ST Act), Criminal breach of trust (Sec 405)"
nosi,f,Mahabubnagar,Telangana,73,Cruelty by husband or relatives (Sec 498A)
sangeeta kumari,f,New Delhi,Delhi,39,"Robbery (Sec 392), Dowry death (Sec 304B), Assault (Sec 351)"
km. sarita,f,Rohtak,Haryana,77,"Unlawful activities (UAPA), Abetment of suicide (Sec 306)"
rini,f,Alwar,Rajasthan,34,"Overspeeding, Land encroachment, Abetment of suicide (Sec 306)"
chaman prakash,m,Kolar,Karnataka,80,Narcotic Drugs and Psychotropic Substances offences (NDPS Act)
arti_13.0,f,Hapur,Uttar Pradesh,75,Money laundering
rizwan_1.0,m,Mumbai,Maharashtra,32,Civil contempt
narender_3.0,m,Vishakhapatnam,Andhra Pradesh,23,"Rape (Sec 376), Overspeeding"
monu_9.0,m,Ludhiana,Punjab,57,"Data theft, Criminal breach of trust (Sec 405)"
sumit_9.0,m,Madurai,Tamil Nadu ,37,"Driving without a license, Theft (Sec 378)"
bimlesh,f,Hapur,Uttar Pradesh,29,"Atrocities against SC/ST (SC/ST Act), Criminal misappropriation (Sec 403), Hacking"
mamta_29.0,f,Ajmer,Rajasthan,51,"Abetment of suicide (Sec 306), Drunk driving, Consumer complaints"
parbhat jha,m,Khammam,Telangana,38,"Cyber stalking, Criminal misappropriation (Sec 403)"
akshay kumar_3.0,m,Budaun,Uttar Pradesh,40,"Sedition (Sec 124A), Hacking"
sanjay_14.0,m,Bhopal ,Madhya Pradesh,75,"Cruelty by husband or relatives (Sec 498A), Consumer complaints, Land encroachment"
vimlesh_1.0,f,Moradabad,Uttar Pradesh,21,"Bigamy (Sec 494), Dowry death (Sec 304B), Unlawful activities (UAPA)"
jaspal singh,m,Aligarh,Uttar Pradesh,51,"Money laundering (PMLA), Bigamy (Sec 494)"
asha_14.0,f,Valparai,Tamil Nadu ,50,Abetment of suicide (Sec 306)
yogesh_2.0,m,Ludhiana,Punjab,67,Attempt to murder (Sec 307)
sania parveen,f,Chirala,Andhra Pradesh,58,"Fraud, Concealing intent to wage war (Sec 123), Partition suits"
rizwan_2.0,m,Bhilwara,Rajasthan,62,"Robbery (Sec 392), Kidnapping (Sec 363–369), Criminal misappropriation (Sec 403)"
kanchan_9.0,f,Aligarh,Uttar Pradesh,63,Dacoity (Sec 395)
saruf,m,Patiala,Punjab,22,"Overspeeding, Adultery (Sec 497 now decriminalized)"
meera_1.0,f,Indore,Madhya Pradesh,46,"Illegal possession or use of arms (Arms Act), Dacoity (Sec 395), Robbery (Sec 392)"
harsha chauhan,f,Gangtok,Sikkim,44,"Consumer complaints, Land encroachment, Waging war against the Government (Sec 121)"
manish_6.0,m,Krishnanagar,West Bengal,68,Rape (Sec 376)
divya_3.0,f,Udaipur,Rajasthan,23,"Adultery (Sec 497 now decriminalized), Illegal possession or use of arms (Arms Act), Forgery (Sec 463)"
komal_19.0,m,Khammam,Telangana,46,"Data theft, Abetment of suicide (Sec 306)"
anju_12.0,f,Kalyan,Maharashtra,28,"Criminal misappropriation (Sec 403), Cyber stalking"
priyanka_15.0,f,Bhopal ,Madhya Pradesh,36,Attempt to murder (Sec 307)
kanchan_10.0,f,Adilabad,Telangana,20,Atrocities against SC/ST (SC/ST Act)
anuradha_2.0,f,Rohtak,Haryana,77,"Land encroachment, Money laundering (PMLA)"
kailash_3.0,m,Bamanpuri,Uttar Pradesh,58,"Dacoity (Sec 395), Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Money laundering"
mohd ayub,m,Bamanpuri,Uttar Pradesh,28,Online harassment
suraj_6.0,m,Brahmapur,Odisha,20,"Assault (Sec 351), Unlawful activities (UAPA)"
mahender lal,m,Shimoga,Karnataka,59,"Money laundering, Culpable homicide (Sec 304)"
arshad khan,m,Jamshedpur,Jharkhand,24,"Waging war against the Government (Sec 121), Dowry death (Sec 304B)"
sabba_1.0,f,Vadodara,Gujarat,47,Theft (Sec 378)
keli devi,f,Bharauri,Uttar Pradesh,38,"Concealing intent to wage war (Sec 123), Attempt to murder (Sec 307)"
ashok paswan,m,Panaji,Goa,72,"Overspeeding, Consumer complaints"
rakhi_10.0,f,Agartala,Tripura,79,"Divorce and matrimonial issues, Civil contempt"
manish_7.0,m,Agra,Uttar Pradesh,61,"Cruelty by husband or relatives (Sec 498A), Money laundering (PMLA), Violation of traffic signals"
tushar,m,Rajahmundry,Andhra Pradesh,43,"Cyber stalking, Atrocities against SC/ST (SC/ST Act)"
shivani_16.0,f,Srinagar,Jammu and Kashmir,64,"Environmental violations (EPA), Civil contempt"
buddha,m,Thiruvananthapuram,Kerala,60,"Forgery (Sec 463), Pollution Control Board violations"
rinku malav,f,Purnea,Bihar,41,"Assault (Sec 351), Driving without a license"
kiran_17.0,f,Jabalpur,Madhya Pradesh,20,"Theft (Sec 378), Rape (Sec 376)"
keshav raj,m,Gurugram,Haryana,32,Sedition (Sec 124A)
amit kumar_12.0,m,Karur,Tamil Nadu ,32,"Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Money laundering, Environmental violations (EPA)"
gopal kishan,m,Bareilly,Uttar Pradesh,61,Dowry death (Sec 304B)
nisha_19.0,f,Jodhpur,Rajasthan,32,"Attempt to murder (Sec 307), Theft (Sec 378), Forgery (Sec 463)"
gaurav_8.0,m,Chanda,Maharashtra,77,"Cheating (Sec 415), Sedition (Sec 124A)"
gurmit singh,m,Hubli,Karnataka,22,"Criminal contempt, Fraud, Kidnapping (Sec 363–369)"
lalita devi_1.0,f,Salem,Tamil Nadu ,38,"Atrocities against SC/ST (SC/ST Act), Land encroachment, Criminal misappropriation (Sec 403)"
lalita_6.0,f,Latur,Maharashtra,21,Counterfeiting currency (Sec 489A)
jitendra yadav,m,Kumbakonam,Tamil Nadu ,30,"Atrocities against SC/ST (SC/ST Act), Sedition (Sec 124A), Fraud"
shalid,m,Tezpur,Assam,80,"Sexual offences against children (POSCO Act), Money laundering (PMLA)"
harun,m,Bhiwandi,Maharashtra,48,"Child custody, Breach of contract, Partition suits"
umrawti devi,f,Abohar,Punjab,43,"Sedition (Sec 124A), Partition suits"
sohan lal_1.0,m,Kota,Rajasthan,22,Attempt to murder (Sec 307)
ashish kumar_1.0,m,Kurnool,Andhra Pradesh,63,Assault (Sec 351)
kamal kishor,m,Mirzapur,Uttar Pradesh,43,"Violation of traffic signals, Money laundering (PMLA)"
aman_6.0,m,Krishnanagar,West Bengal,70,"Counterfeiting currency (Sec 489A), Culpable homicide (Sec 304)"
bhoop singh_1.0,m,Ahmadnagar,Maharashtra,32,"Criminal misappropriation (Sec 403), Assault (Sec 351), Fraud"
mansi_2.0,f,Mathura,Uttar Pradesh,47,"Money laundering (PMLA), Theft (Sec 378), Assault (Sec 351)"
shiv vesh,m,Shimoga,Karnataka,23,"Dowry death (Sec 304B), Driving without a license, Cheating (Sec 415)"
khushboo_3.0,f,New Delhi,Delhi,78,Land encroachment
parmod kumar_1.0,m,Fyzabad,Uttar Pradesh,62,Environmental violations (EPA)
surgyan,m,Bengaluru,Karnataka,33,"Counterfeiting currency (Sec 489A), Kidnapping (Sec 363–369), Unlawful activities (UAPA)"
rahul_26.0,m,Saidpur,Jammu and Kashmir,45,Counterfeiting currency (Sec 489A)
aishwarya,f,Hisar,Haryana,66,Narcotic Drugs and Psychotropic Substances offences (NDPS Act)
sapna_8.0,f,Chennai,Tamil Nadu ,21,"Assault (Sec 351), Pollution Control Board violations, Bigamy (Sec 494)"
bhagwan singh_2.0,m,Ghandinagar,Gujarat,52,Atrocities against SC/ST (SC/ST Act)
puneet_1.0,m,Bhiwandi,Maharashtra,80,"Criminal breach of trust (Sec 405), Dacoity (Sec 395), Money laundering (PMLA)"
ranbir_1.0,m,Samlaipadar,Odisha,55,"Fraud, Forgery (Sec 463), Driving without a license"
vishal_6.0,m,Kollam,Kerala,73,Bigamy (Sec 494)
